sample_rate,window_minutes,binary_model,binary_accuracy,binary_precision,binary_recall,binary_f1,binary_mcc,binary_threshold,binary_size_kb,multiclass_model,multiclass_accuracy,multiclass_precision,multiclass_recall,multiclass_f1,multiclass_mcc,combined_accuracy,combined_precision,combined_recall,combined_f1,combined_mcc
0.5Hz,15,DecisionTreeClassifier,0.850963,0.850963,0.850963,0.850963,0.701925,,133.907227,ExtraTreesClassifier,0.993499,0.993523,0.993499,0.993505,0.992988,0.848041,0.848062,0.848041,0.848011,0.792368
0.5Hz,30,DecisionTreeClassifier,0.865709,0.865710,0.865709,0.865709,0.731419,,133.907227,ExtraTreesClassifier,0.996439,0.996442,0.996439,0.996439,0.996159,0.864085,0.864085,0.864085,0.864066,0.814373
0.5Hz,45,DecisionTreeClassifier,0.877074,0.877074,0.877074,0.877073,0.754148,,133.907227,ExtraTreesClassifier,0.997237,0.997239,0.997237,0.997237,0.997020,0.875844,0.875878,0.875844,0.875830,0.830391
0.5Hz,60,DecisionTreeClassifier,0.887490,0.887490,0.887490,0.887490,0.774981,,133.907227,ExtraTreesClassifier,0.997871,0.997872,0.997871,0.997871,0.997703,0.886507,0.886507,0.886507,0.886493,0.844906
0.5Hz,75,DecisionTreeClassifier,0.892432,0.892433,0.892432,0.892432,0.784865,,133.907227,ExtraTreesClassifier,0.998053,0.998054,0.998053,0.998053,0.997900,0.891546,0.891553,0.891546,0.891536,0.851847
0.5Hz,90,DecisionTreeClassifier,0.894061,0.894061,0.894061,0.894061,0.788122,,133.907227,ExtraTreesClassifier,0.998263,0.998263,0.998263,0.998263,0.998126,0.893276,0.893299,0.893276,0.893272,0.854120
0.5Hz,105,DecisionTreeClassifier,0.898015,0.898015,0.898015,0.898015,0.796030,,133.907227,ExtraTreesClassifier,0.998506,0.998506,0.998506,0.998506,0.998388,0.897337,0.897372,0.897337,0.897336,0.859677
0.5Hz,120,DecisionTreeClassifier,0.903073,0.903073,0.903073,0.903073,0.806146,,133.907227,ExtraTreesClassifier,0.998560,0.998560,0.998560,0.998560,0.998446,0.902407,0.902443,0.902407,0.902406,0.866636
0.5Hz,135,DecisionTreeClassifier,0.908596,0.908596,0.908596,0.908596,0.817191,,133.907227,ExtraTreesClassifier,0.998726,0.998726,0.998726,0.998725,0.998625,0.908009,0.908028,0.908009,0.908008,0.874256
0.5Hz,150,DecisionTreeClassifier,0.916647,0.916649,0.916647,0.916647,0.833296,,133.907227,ExtraTreesClassifier,0.998675,0.998676,0.998675,0.998675,0.998571,0.916043,0.916095,0.916043,0.916045,0.885190
