sample_rate,window_minutes,binary_model,binary_accuracy,binary_precision,binary_recall,binary_f1,binary_mcc,binary_threshold,binary_size_kb,multiclass_model,multiclass_accuracy,multiclass_precision,multiclass_recall,multiclass_f1,multiclass_mcc,combined_accuracy,combined_precision,combined_recall,combined_f1,combined_mcc
0.5Hz,15,DecisionTreeClassifier,0.901137,0.901137,0.901137,0.901137,0.802274,0.740000,133.907227,ExtraTreesClassifier,0.995545,0.995621,0.995545,0.995553,0.995193,0.898986,0.899123,0.898986,0.898584,0.861933
0.5Hz,15,DecisionTreeClassifier,0.873697,0.873703,0.873697,0.873696,0.747400,0.660000,133.907227,ExtraTreesClassifier,0.992767,0.992814,0.992767,0.992770,0.992195,0.870325,0.870271,0.870325,0.869908,0.822548
0.5Hz,15,DecisionTreeClassifier,0.846862,0.846868,0.846862,0.846861,0.693730,0.620000,133.907227,ExtraTreesClassifier,0.993218,0.993277,0.993218,0.993236,0.992684,0.843653,0.844044,0.843653,0.843584,0.786622
0.5Hz,15,DecisionTreeClassifier,0.847975,0.848002,0.847975,0.847973,0.695978,0.620000,133.907227,ExtraTreesClassifier,0.996419,0.996428,0.996419,0.996408,0.996130,0.846362,0.846942,0.846362,0.846333,0.790506
0.5Hz,15,DecisionTreeClassifier,0.863177,0.863178,0.863177,0.863177,0.726356,0.640000,133.907227,ExtraTreesClassifier,0.995601,0.995601,0.995601,0.995599,0.995251,0.861120,0.861092,0.861120,0.860989,0.810280
0.5Hz,15,DecisionTreeClassifier,0.882894,0.882894,0.882894,0.882894,0.765788,0.620000,133.907227,ExtraTreesClassifier,0.996579,0.996584,0.996579,0.996576,0.996306,0.881183,0.881010,0.881183,0.880930,0.837629
0.5Hz,15,DecisionTreeClassifier,0.843334,0.843339,0.843334,0.843334,0.686673,0.600000,133.907227,ExtraTreesClassifier,0.994189,0.994200,0.994189,0.994186,0.993733,0.840871,0.840764,0.840871,0.840611,0.782816
0.5Hz,15,DecisionTreeClassifier,0.812792,0.812802,0.812792,0.812790,0.625594,0.600000,133.907227,ExtraTreesClassifier,0.987233,0.987384,0.987233,0.987241,0.986239,0.807389,0.807047,0.807389,0.807008,0.736329
0.5Hz,15,DecisionTreeClassifier,0.862620,0.862621,0.862620,0.862620,0.725241,0.720000,133.907227,ExtraTreesClassifier,0.995984,0.996016,0.995984,0.995987,0.995667,0.860856,0.861038,0.860856,0.860764,0.809726
0.5Hz,15,DecisionTreeClassifier,0.822048,0.822054,0.822048,0.822047,0.644102,0.580000,133.907227,ExtraTreesClassifier,0.992354,0.992451,0.992354,0.992375,0.991753,0.818508,0.818928,0.818508,0.818418,0.752330
0.5Hz,15,DecisionTreeClassifier,0.863841,0.863882,0.863841,0.863837,0.727723,0.620000,133.907227,ExtraTreesClassifier,0.993248,0.993286,0.993248,0.993251,0.992706,0.861001,0.860882,0.861001,0.860744,0.809309
0.5Hz,30,DecisionTreeClassifier,0.918843,0.918844,0.918843,0.918843,0.837688,0.740000,133.907227,ExtraTreesClassifier,0.997158,0.997166,0.997158,0.997158,0.996932,0.917422,0.917391,0.917422,0.917308,0.887186
0.5Hz,30,DecisionTreeClassifier,0.892969,0.892972,0.892969,0.892969,0.785941,0.700000,133.907227,ExtraTreesClassifier,0.994903,0.994943,0.994903,0.994908,0.994500,0.890617,0.890779,0.890617,0.890472,0.850385
0.5Hz,30,DecisionTreeClassifier,0.859961,0.859962,0.859961,0.859960,0.719923,0.620000,133.907227,ExtraTreesClassifier,0.996882,0.996902,0.996882,0.996887,0.996636,0.858568,0.858936,0.858568,0.858582,0.806570
0.5Hz,30,DecisionTreeClassifier,0.868720,0.868744,0.868720,0.868718,0.737464,0.640000,133.907227,ExtraTreesClassifier,0.998059,0.998058,0.998059,0.998056,0.997902,0.867830,0.868199,0.867830,0.867810,0.819742
0.5Hz,30,DecisionTreeClassifier,0.872240,0.872243,0.872240,0.872240,0.744483,0.620000,133.907227,ExtraTreesClassifier,0.997719,0.997737,0.997719,0.997721,0.997538,0.871161,0.871311,0.871161,0.871074,0.824039
0.5Hz,30,DecisionTreeClassifier,0.901176,0.901179,0.901176,0.901176,0.802355,0.580000,133.907227,ExtraTreesClassifier,0.998076,0.998079,0.998076,0.998075,0.997922,0.900321,0.900279,0.900321,0.900169,0.863850
0.5Hz,30,DecisionTreeClassifier,0.862605,0.862622,0.862605,0.862603,0.725227,0.640000,133.907227,ExtraTreesClassifier,0.997095,0.997099,0.997095,0.997095,0.996866,0.861342,0.861755,0.861342,0.861248,0.810956
0.5Hz,30,DecisionTreeClassifier,0.826175,0.826182,0.826175,0.826175,0.652357,0.600000,133.907227,ExtraTreesClassifier,0.993113,0.993136,0.993113,0.993110,0.992574,0.823014,0.822679,0.823014,0.822628,0.758506
0.5Hz,30,DecisionTreeClassifier,0.874525,0.874555,0.874525,0.874523,0.749080,0.720000,133.907227,ExtraTreesClassifier,0.997938,0.997942,0.997938,0.997938,0.997774,0.873575,0.873918,0.873575,0.873495,0.826746
0.5Hz,30,DecisionTreeClassifier,0.828398,0.828414,0.828398,0.828396,0.656813,0.580000,133.907227,ExtraTreesClassifier,0.996885,0.996896,0.996885,0.996885,0.996639,0.827014,0.827530,0.827014,0.826855,0.764135
0.5Hz,30,DecisionTreeClassifier,0.880318,0.880321,0.880318,0.880318,0.760639,0.620000,133.907227,ExtraTreesClassifier,0.994695,0.994733,0.994695,0.994704,0.994268,0.877934,0.877962,0.877934,0.877706,0.832954
